payment_type,payment_value
credit_card,108.0
credit_card,348.74
credit_card,88.78
credit_card,953.71
credit_card,125.77
credit_card,64.05
boleto,127.69
credit_card,62.42
credit_card,55.69
credit_card,146.13
credit_card,349.99
credit_card,91.28
boleto,108.64
credit_card,158.98
credit_card,20.75
boleto,72.9
credit_card,543.83
credit_card,67.12
credit_card,139.07
boleto,126.68
credit_card,41.42
boleto,203.16
credit_card,540.02
boleto,368.6
credit_card,107.78
credit_card,387.27
credit_card,107.23
credit_card,101.25
credit_card,26.09
boleto,244.35
credit_card,117.85
credit_card,171.32
credit_card,202.44
boleto,73.03
credit_card,264.67
credit_card,68.7
boleto,55.13
credit_card,92.99
credit_card,36.0
credit_card,17.87
credit_card,58.38
voucher,50.0
credit_card,1995.69
credit_card,130.14
boleto,710.23
credit_card,68.0
credit_card,59.51
credit_card,371.94
credit_card,667.99
credit_card,63.89
credit_card,49.34
boleto,147.0
credit_card,354.64
credit_card,59.71
credit_card,408.66
credit_card,51.66
credit_card,386.46
credit_card,69.54
credit_card,21.94
credit_card,52.34
credit_card,114.25
credit_card,162.83
credit_card,172.92
credit_card,81.72
credit_card,151.79
credit_card,243.62
boleto,56.42
credit_card,45.13
boleto,108.64
credit_card,64.51
credit_card,193.5
boleto,110.63
credit_card,200.55
credit_card,41.71
credit_card,54.43
credit_card,77.64
boleto,280.08
credit_card,101.34
credit_card,77.57
credit_card,60.2
boleto,48.1
boleto,76.02
credit_card,84.56
voucher,20.0
credit_card,48.16
debit_card,265.41
credit_card,127.53
credit_card,128.73
credit_card,37.37
credit_card,150.15
credit_card,36.16
credit_card,198.0
credit_card,112.4
credit_card,35.4
credit_card,189.98
credit_card,228.6
credit_card,314.21
credit_card,22.29
credit_card,257.3
credit_card,162.99
boleto,51.03
credit_card,190.09
credit_card,374.24
credit_card,53.15
credit_card,88.2
voucher,25.9
credit_card,46.81
boleto,131.47
credit_card,258.71
credit_card,84.23
credit_card,156.73
boleto,69.9
boleto,48.13
credit_card,187.15
credit_card,69.99
voucher,25.0
credit_card,162.1
credit_card,57.11
credit_card,154.87
credit_card,236.81
credit_card,102.53
credit_card,65.1
boleto,93.64
boleto,64.09
credit_card,279.4
credit_card,205.43
credit_card,89.57
boleto,75.07
credit_card,63.23
credit_card,0.52
credit_card,231.27
boleto,41.69
credit_card,69.41
credit_card,72.75
credit_card,24.29
credit_card,88.49
credit_card,71.66
credit_card,80.81
credit_card,132.82
credit_card,394.07
credit_card,165.5
credit_card,98.47
credit_card,49.77
credit_card,180.91
credit_card,40.63
debit_card,71.63
credit_card,262.94
credit_card,62.22
credit_card,311.57
debit_card,93.22
boleto,100.21
credit_card,125.43
boleto,80.55
credit_card,373.44
credit_card,62.31
debit_card,36.35
credit_card,29.38
credit_card,102.47
credit_card,130.0
credit_card,69.13
credit_card,86.24
credit_card,74.29
credit_card,70.72
credit_card,199.0
credit_card,340.47
credit_card,48.74
credit_card,28.08
voucher,59.9
credit_card,166.29
boleto,51.1
credit_card,67.83
credit_card,164.35
boleto,79.09
boleto,93.69
credit_card,59.82
credit_card,159.03
credit_card,92.57
credit_card,42.77
credit_card,453.74
credit_card,234.08
credit_card,67.62
credit_card,19.33
credit_card,143.18
credit_card,112.83
boleto,85.92
credit_card,102.05
credit_card,134.12
credit_card,112.13
credit_card,70.75
credit_card,77.6
credit_card,197.04
credit_card,93.18
boleto,44.72
credit_card,26.38
debit_card,149.14
credit_card,106.32
credit_card,246.96
credit_card,22.29
credit_card,57.48
credit_card,105.28
credit_card,203.54
credit_card,330.4
boleto,108.68
boleto,415.93
credit_card,314.21
credit_card,206.08
credit_card,27.7
boleto,19.48
credit_card,121.09
credit_card,206.76
credit_card,142.21
boleto,73.34
credit_card,72.62
credit_card,86.24
boleto,230.1
boleto,206.14
boleto,212.73
credit_card,94.82
boleto,126.44
voucher,140.08
credit_card,68.87
credit_card,87.58
credit_card,305.19
credit_card,161.88
debit_card,88.08
credit_card,92.5
credit_card,43.0
credit_card,116.36
boleto,64.48
boleto,37.69
credit_card,150.52
credit_card,314.3
credit_card,396.35
debit_card,98.33
credit_card,120.92
credit_card,76.17
credit_card,104.43
credit_card,105.94
credit_card,110.04
boleto,730.95
credit_card,128.77
credit_card,82.1
boleto,53.39
credit_card,61.79
boleto,86.83
credit_card,45.3
credit_card,25.5
voucher,103.79
credit_card,114.28
credit_card,57.78
credit_card,124.15
credit_card,64.1
credit_card,179.92
boleto,40.01
credit_card,104.27
credit_card,307.96
credit_card,31.29
credit_card,38.13
voucher,52.01
credit_card,35.05
credit_card,186.49
credit_card,99.95
credit_card,215.62
credit_card,206.2
boleto,55.06
credit_card,21.04
credit_card,26.45
credit_card,127.53
credit_card,223.14
credit_card,56.41
boleto,566.63
credit_card,39.41
credit_card,148.64
credit_card,64.0
credit_card,151.09
boleto,93.91
credit_card,71.14
credit_card,188.06
credit_card,257.21
credit_card,692.94
credit_card,181.1
boleto,202.26
credit_card,164.15
credit_card,137.13
credit_card,2.01
boleto,272.58
credit_card,87.36
voucher,16.54
credit_card,234.19
boleto,86.37
boleto,33.0
credit_card,10.89
credit_card,84.14
boleto,43.28
credit_card,47.95
boleto,76.08
boleto,104.37
credit_card,69.61
credit_card,121.09
credit_card,238.65
credit_card,181.59
credit_card,135.26
credit_card,51.09
credit_card,1783.44
credit_card,145.01
credit_card,231.27
boleto,70.03
credit_card,1432.92
voucher,45.24
voucher,50.0
credit_card,64.01
credit_card,148.18
credit_card,171.53
credit_card,86.15
debit_card,22.79
credit_card,58.16
boleto,149.42
credit_card,44.53
credit_card,152.82
credit_card,82.92
boleto,66.69
boleto,52.75
credit_card,105.94
credit_card,413.31
credit_card,112.09
credit_card,186.36
credit_card,165.22
credit_card,49.02
debit_card,173.68
credit_card,205.07
credit_card,21.04
credit_card,132.68
credit_card,36.09
boleto,66.44
boleto,161.62
credit_card,27.75
credit_card,91.28
voucher,81.93
credit_card,167.92
credit_card,61.36
credit_card,60.0
credit_card,39.01
credit_card,39.78
credit_card,64.23
credit_card,186.92
credit_card,43.29
credit_card,59.13
credit_card,33.51
debit_card,33.1
voucher,148.06
credit_card,189.56
credit_card,105.38
boleto,69.06
voucher,85.24
credit_card,179.46
credit_card,168.35
voucher,100.0
credit_card,77.89
credit_card,99.43
credit_card,407.9
voucher,15.0
credit_card,424.04
credit_card,157.2
credit_card,162.03
credit_card,188.5
credit_card,65.47
credit_card,39.42
credit_card,365.32
credit_card,65.11
credit_card,188.34
boleto,35.4
credit_card,590.72
boleto,36.75
credit_card,81.73
credit_card,17.86
boleto,108.97
credit_card,569.66
credit_card,48.13
credit_card,63.1
boleto,39.42
boleto,74.03
boleto,66.78
credit_card,36.59
credit_card,272.64
credit_card,64.34
boleto,49.05
credit_card,163.69
credit_card,443.85
credit_card,165.31
credit_card,1180.51
credit_card,706.84
voucher,20.0
credit_card,135.97
credit_card,56.99
credit_card,43.58
credit_card,48.15
credit_card,76.87
credit_card,2.78
credit_card,123.59
boleto,128.07
credit_card,185.84
credit_card,85.81
credit_card,149.54
credit_card,32.38
credit_card,23.38
credit_card,98.86
credit_card,124.21
credit_card,191.58
credit_card,123.04
credit_card,26.38
credit_card,71.49
credit_card,153.98
credit_card,55.91
credit_card,86.06
credit_card,33.1
credit_card,360.29
credit_card,105.24
credit_card,114.85
voucher,0.01
credit_card,65.57
credit_card,88.9
credit_card,76.78
credit_card,680.96
voucher,27.91
credit_card,61.79
credit_card,40.96
credit_card,149.0
credit_card,75.7
credit_card,356.9
credit_card,165.96
credit_card,61.19
credit_card,43.37
credit_card,40.86
credit_card,84.81
voucher,8.24
credit_card,191.93
credit_card,32.72
boleto,32.77
credit_card,50.5
credit_card,37.05
credit_card,70.36
credit_card,38.0
boleto,196.81
boleto,46.84
credit_card,367.2
credit_card,195.36
credit_card,144.8
boleto,28.62
boleto,160.74
voucher,103.59
credit_card,10.39
credit_card,31.75
credit_card,116.23
credit_card,40.43
boleto,66.64
voucher,17.01
boleto,189.96
boleto,170.37
credit_card,50.9
credit_card,133.64
boleto,543.29
credit_card,42.75
credit_card,161.01
boleto,72.83
boleto,1605.14
boleto,130.6
credit_card,69.67
credit_card,70.97
credit_card,255.76
credit_card,75.4
credit_card,109.93
credit_card,71.14
credit_card,113.33
credit_card,292.86
credit_card,129.15
credit_card,177.67
credit_card,27.48
credit_card,140.94
boleto,23.0
credit_card,49.09
credit_card,84.79
boleto,111.02
credit_card,42.44
credit_card,210.56
credit_card,42.74
boleto,50.1
credit_card,67.23
credit_card,46.66
credit_card,201.05
credit_card,81.47
boleto,79.69
credit_card,45.12
boleto,250.04
credit_card,108.88
credit_card,189.66
credit_card,135.47
boleto,104.07
credit_card,184.08
boleto,164.01
credit_card,91.21
credit_card,129.0
credit_card,84.28
credit_card,57.67
credit_card,97.79
debit_card,53.9
boleto,35.09
boleto,218.04
boleto,67.93
boleto,40.53
credit_card,97.23
credit_card,159.39
boleto,167.07
voucher,50.0
credit_card,93.4
credit_card,276.11
credit_card,149.16
credit_card,175.13
credit_card,143.99
boleto,131.8
boleto,88.54
credit_card,109.31
boleto,63.05
credit_card,353.29
credit_card,276.44
boleto,45.95
credit_card,116.99
boleto,46.0
voucher,23.23
credit_card,119.18
boleto,32.13
credit_card,222.15
boleto,59.22
boleto,204.81
credit_card,73.34
credit_card,131.03
credit_card,57.69
credit_card,27.79
boleto,224.45
credit_card,135.6
credit_card,76.08
credit_card,67.14
boleto,137.97
boleto,68.12
credit_card,73.61
credit_card,117.94
credit_card,84.52
credit_card,138.84
credit_card,5.37
credit_card,119.48
credit_card,77.5
boleto,84.05
boleto,149.73
boleto,93.8
credit_card,76.51
boleto,121.6
credit_card,528.69
boleto,73.03
credit_card,70.0
credit_card,278.63
credit_card,89.88
boleto,117.38
credit_card,180.47
credit_card,110.77
credit_card,28.7
credit_card,23.47
voucher,50.0
boleto,364.46
credit_card,48.23
credit_card,78.97
credit_card,159.8
credit_card,66.44
credit_card,71.13
credit_card,76.29
voucher,188.93
debit_card,70.03
boleto,51.01
credit_card,162.75
boleto,36.36
credit_card,209.46
credit_card,79.95
credit_card,134.49
credit_card,111.02
credit_card,53.88
boleto,62.91
debit_card,335.47
voucher,12.29
credit_card,237.54
credit_card,131.94
debit_card,191.28
credit_card,85.24
credit_card,37.99
credit_card,200.75
boleto,213.03
boleto,74.16
voucher,55.09
voucher,10.04
credit_card,57.8
credit_card,25.05
boleto,199.43
credit_card,172.29
credit_card,126.3
credit_card,116.97
credit_card,158.21
voucher,247.16
credit_card,45.09
credit_card,172.16
credit_card,189.37
credit_card,372.67
boleto,64.44
credit_card,2.35
credit_card,204.07
boleto,75.17
credit_card,177.11
credit_card,42.78
boleto,37.79
credit_card,119.79
boleto,273.98
credit_card,63.7
voucher,50.0
boleto,36.05
credit_card,85.15
credit_card,50.45
credit_card,34.37
voucher,184.93
credit_card,157.97
boleto,143.15
credit_card,123.25
credit_card,121.68
credit_card,156.39
credit_card,171.79
credit_card,133.05
debit_card,77.42
credit_card,281.73
credit_card,36.07
credit_card,441.16
credit_card,99.14
voucher,118.35
credit_card,92.8
credit_card,142.25
boleto,186.27
debit_card,23.88
boleto,497.59
credit_card,51.57
credit_card,159.07
credit_card,154.38
credit_card,245.36
boleto,385.52
credit_card,318.17
credit_card,576.2
credit_card,93.66
boleto,71.81
boleto,33.1
voucher,3.9
boleto,44.24
boleto,398.88
credit_card,47.61
credit_card,116.85
boleto,35.09
credit_card,51.88
credit_card,190.83
credit_card,101.64
credit_card,212.18
boleto,61.94
credit_card,35.24
credit_card,63.06
credit_card,102.64
credit_card,123.68
boleto,64.63
boleto,216.74
credit_card,46.26
credit_card,52.83
credit_card,129.79
credit_card,8.16
voucher,98.87
credit_card,65.05
debit_card,64.0
credit_card,34.7
credit_card,151.83
credit_card,103.2
credit_card,43.62
credit_card,166.41
credit_card,35.77
credit_card,194.48
credit_card,133.62
credit_card,115.9
boleto,91.92
credit_card,36.61
credit_card,72.78
credit_card,189.21
credit_card,346.59
credit_card,245.51
voucher,216.99
credit_card,104.43
credit_card,36.1
credit_card,161.47
credit_card,133.75
credit_card,125.22
boleto,50.86
credit_card,164.84
credit_card,2.67
voucher,33.56
boleto,99.9
credit_card,133.34
voucher,69.46
credit_card,133.28
credit_card,50.0
credit_card,368.92
credit_card,406.67
credit_card,69.45
credit_card,1327.54
credit_card,12.59
credit_card,45.69
credit_card,119.48
credit_card,88.72
voucher,250.0
credit_card,88.58
credit_card,81.6
credit_card,41.53
credit_card,64.86
credit_card,35.01
credit_card,47.44
boleto,21.01
credit_card,639.52
credit_card,142.44
credit_card,323.92
voucher,64.25
boleto,64.44
credit_card,91.18
boleto,44.34
credit_card,37.09
debit_card,146.13
boleto,218.27
voucher,41.11
credit_card,21.16
credit_card,95.34
credit_card,124.92
credit_card,52.76
boleto,56.28
debit_card,416.36
credit_card,144.76
voucher,6.82
boleto,202.5
credit_card,14.0
credit_card,3.99
credit_card,104.37
credit_card,119.84
credit_card,84.24
credit_card,2787.87
credit_card,457.64
credit_card,89.56
credit_card,595.3
credit_card,171.69
credit_card,32.96
credit_card,85.6
credit_card,44.66
boleto,164.55
boleto,38.42
credit_card,115.78
credit_card,198.49
credit_card,512.46
credit_card,113.16
credit_card,94.3
credit_card,87.64
credit_card,92.62
credit_card,52.1
credit_card,47.23
credit_card,62.5
credit_card,5.36
boleto,116.32
credit_card,158.21
credit_card,404.95
credit_card,196.01
boleto,95.84
credit_card,61.97
credit_card,134.71
voucher,79.56
credit_card,78.2
voucher,44.55
boleto,45.89
boleto,93.82
voucher,191.09
boleto,306.78
credit_card,44.85
credit_card,178.06
boleto,157.78
credit_card,83.34
credit_card,97.71
boleto,205.0
credit_card,65.0
credit_card,113.62
voucher,41.0
credit_card,44.38
credit_card,67.57
credit_card,117.57
voucher,1.39
boleto,90.76
credit_card,168.35
credit_card,131.64
credit_card,63.07
boleto,481.07
credit_card,37.96
boleto,248.36
credit_card,61.4
credit_card,176.16
credit_card,131.44
credit_card,61.37
credit_card,103.15
credit_card,154.51
voucher,20.0
credit_card,103.93
credit_card,92.57
credit_card,145.57
credit_card,86.15
credit_card,119.97
credit_card,73.25
credit_card,167.6
credit_card,35.69
credit_card,109.5
credit_card,70.18
credit_card,104.19
boleto,165.3
credit_card,219.4
credit_card,94.59
credit_card,991.09
credit_card,284.66
credit_card,146.48
credit_card,132.64
credit_card,35.0
credit_card,221.58
credit_card,158.98
voucher,6.67
credit_card,99.82
credit_card,86.31
credit_card,51.33
credit_card,111.93
credit_card,58.98
credit_card,88.56
credit_card,123.27
credit_card,33.16
credit_card,82.66
boleto,236.09
credit_card,43.0
credit_card,235.28
credit_card,55.79
credit_card,784.8
credit_card,73.43
boleto,174.64
credit_card,29.91
credit_card,54.1
credit_card,173.62
credit_card,99.43
credit_card,65.34
credit_card,153.8
credit_card,26.59
credit_card,123.29
debit_card,22.38
credit_card,326.38
credit_card,196.92
boleto,65.01
credit_card,21.84
credit_card,248.74
credit_card,141.11
credit_card,1013.25
credit_card,214.14
credit_card,94.7
debit_card,46.01
credit_card,224.39
voucher,100.0
credit_card,196.66
credit_card,69.83
boleto,41.09
credit_card,425.6
credit_card,118.43
credit_card,102.26
credit_card,48.11
voucher,150.0
credit_card,40.4
credit_card,430.28
credit_card,72.98
credit_card,126.23
boleto,143.1
credit_card,138.74
credit_card,291.72
credit_card,131.62
credit_card,161.54
credit_card,27.23
credit_card,143.04
credit_card,175.03
credit_card,63.74
credit_card,214.69
credit_card,531.92
credit_card,202.15
boleto,277.48
credit_card,35.13
boleto,28.07
credit_card,181.4
credit_card,162.51
credit_card,118.29
credit_card,247.52
credit_card,63.33
credit_card,220.25
boleto,228.82
credit_card,79.92
credit_card,112.2
credit_card,97.66
boleto,158.73
credit_card,136.26
credit_card,141.73
boleto,67.53
credit_card,113.44
boleto,35.0
credit_card,99.2
credit_card,205.45
credit_card,89.91
credit_card,202.76
credit_card,37.68
credit_card,162.55
credit_card,38.33
credit_card,138.24
credit_card,53.1
voucher,20.0
credit_card,102.66
credit_card,64.04
credit_card,97.03
credit_card,150.14
credit_card,98.25
credit_card,50.95
boleto,36.38
boleto,47.79
voucher,44.11
credit_card,77.69
credit_card,73.27
boleto,35.41
boleto,2276.1
credit_card,72.02
credit_card,182.29
credit_card,118.09
credit_card,105.9
credit_card,141.2
credit_card,921.05
credit_card,71.14
credit_card,103.55
boleto,193.17
credit_card,91.16
credit_card,54.09
credit_card,142.92
credit_card,53.6
credit_card,80.15
credit_card,135.0
credit_card,175.63
boleto,162.7
credit_card,192.39
credit_card,26.77
credit_card,111.98
credit_card,103.11
boleto,71.14
credit_card,180.46
credit_card,372.27
credit_card,102.31
credit_card,85.62
credit_card,228.24
credit_card,133.34
credit_card,171.44
credit_card,47.75
credit_card,154.72
voucher,20.0
credit_card,78.2
debit_card,24.28
boleto,46.92
credit_card,33.12
boleto,182.91
boleto,100.34
boleto,66.01
credit_card,132.0
credit_card,4.15
credit_card,58.59
boleto,352.95
voucher,29.87
credit_card,54.09
boleto,76.31
credit_card,436.25
credit_card,58.37
credit_card,72.97
credit_card,54.62
boleto,85.81
credit_card,150.99
credit_card,347.83
credit_card,674.92
boleto,164.53
credit_card,193.8
credit_card,22.39
boleto,147.52
credit_card,31.6
credit_card,620.68
credit_card,1082.51
credit_card,204.11
boleto,82.12
credit_card,123.69
credit_card,287.96
credit_card,32.09
voucher,173.38
credit_card,375.22
credit_card,241.61
credit_card,257.29
credit_card,197.69
credit_card,38.86
credit_card,195.0
credit_card,227.44
credit_card,113.05
credit_card,137.02
boleto,89.27
boleto,85.4
voucher,44.6
credit_card,133.93
credit_card,77.89
voucher,100.0
boleto,113.08
credit_card,554.4
credit_card,56.22
credit_card,56.75
credit_card,504.35
credit_card,152.72
credit_card,289.89
boleto,44.23
boleto,93.72
credit_card,220.66
credit_card,151.96
credit_card,279.3
boleto,28.08
credit_card,44.65
boleto,75.17
credit_card,193.51
credit_card,63.1
credit_card,90.92
credit_card,343.85
credit_card,69.11
credit_card,31.73
boleto,67.14
boleto,349.01
credit_card,111.86
voucher,9.39
credit_card,141.96
credit_card,318.4
credit_card,454.95
credit_card,56.6
credit_card,46.53
credit_card,924.12
credit_card,971.1
credit_card,497.62
credit_card,570.94
credit_card,415.97
credit_card,63.49
credit_card,80.77
voucher,20.0
credit_card,172.23
credit_card,64.09
voucher,8.47
credit_card,241.73
credit_card,188.8
credit_card,68.17
credit_card,90.88
credit_card,96.71
credit_card,66.44
boleto,127.92
credit_card,8.58
credit_card,81.76
credit_card,59.82
credit_card,40.76
credit_card,107.1
credit_card,27.36
credit_card,28.93
credit_card,40.96
credit_card,188.73
credit_card,69.73
boleto,40.76
boleto,177.32
credit_card,87.03
debit_card,44.18
credit_card,2.27
credit_card,29.75
credit_card,47.53
credit_card,68.02
credit_card,51.0
credit_card,44.29
credit_card,300.09
credit_card,263.02
credit_card,48.68
credit_card,188.79
debit_card,119.8
boleto,119.84
credit_card,243.45
credit_card,75.65
voucher,29.96
credit_card,248.76
credit_card,375.41
credit_card,2083.09
credit_card,60.3
credit_card,102.75
credit_card,84.6
boleto,298.32
credit_card,67.88
credit_card,82.95
credit_card,89.62
credit_card,151.7
credit_card,239.5
credit_card,506.17
credit_card,217.16
credit_card,198.4
credit_card,177.86
credit_card,36.3
credit_card,117.26
credit_card,103.82
credit_card,242.11
credit_card,46.13
credit_card,20.75
credit_card,123.52
credit_card,113.28
boleto,129.25
credit_card,211.51
boleto,1087.44
credit_card,34.6
credit_card,86.09
credit_card,38.8
credit_card,91.18
credit_card,73.38
voucher,10.05
boleto,181.57
credit_card,47.2
credit_card,67.83
credit_card,197.72
credit_card,342.38
credit_card,317.8
credit_card,180.49
debit_card,81.61
credit_card,56.94
credit_card,135.72
credit_card,120.9
credit_card,198.13
credit_card,55.09
credit_card,140.4
boleto,37.94
credit_card,60.63
voucher,33.05
credit_card,33.18
credit_card,157.32
credit_card,61.01
credit_card,174.52
boleto,40.48
credit_card,164.79
debit_card,39.56
credit_card,103.27
credit_card,55.92
credit_card,204.53
credit_card,29.77
voucher,43.98
credit_card,69.09
boleto,52.38
credit_card,142.81
credit_card,186.85
credit_card,416.54
voucher,58.71
credit_card,105.52
debit_card,27.6
voucher,27.36
credit_card,46.33
credit_card,188.5
credit_card,187.87
credit_card,624.59
credit_card,41.6
boleto,141.48
credit_card,126.64
credit_card,178.89
credit_card,24.68
credit_card,76.61
credit_card,248.38
boleto,60.97
credit_card,188.69
credit_card,171.29
credit_card,75.42
boleto,31.17
credit_card,173.86
boleto,58.13
boleto,60.65
credit_card,79.56
credit_card,27.84
credit_card,102.64
voucher,57.7
boleto,58.01
credit_card,102.27
credit_card,245.29
credit_card,103.37
boleto,136.71
boleto,76.29
credit_card,28.09
credit_card,367.1
voucher,1.85
credit_card,153.69
boleto,146.68
boleto,24.09
credit_card,17.5
credit_card,57.8
