instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_C,atemp_C,windspeed_kph,humidity_pct
23,2011-01-23,Semi,0,1,0,Minggu,0,Cerah / Sedikit Awan,0.0965217,0.0988391,0.436522,0.2466,150,836,986,3.9573897000000002,4.941955,16.5222,43.6522
24,2011-01-24,Semi,0,1,0,Senin,1,Cerah / Sedikit Awan,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,3.9930433,5.8965,10.60811,49.173899999999996
25,2011-01-25,Semi,0,1,0,Selasa,1,Berkabut + Mendung,0.223478,0.234526,0.616957,0.129796,186,1799,1985,9.162598000000001,11.7263,8.696332,61.695699999999995
26,2011-01-26,Semi,0,1,0,Rabu,1,Hujan / Salju Ringan,0.2175,0.2036,0.8625,0.29385,34,472,506,8.9175,10.18,19.68795,86.25
27,2011-01-27,Semi,0,1,0,Kamis,1,Cerah / Sedikit Awan,0.195,0.2197,0.6875,0.113837,15,416,431,7.995,10.985,7.627078999999999,68.75
28,2011-01-28,Semi,0,1,0,Jumat,1,Berkabut + Mendung,0.203478,0.223317,0.793043,0.1233,38,1129,1167,8.342597999999999,11.165849999999999,8.2611,79.30430000000001
29,2011-01-29,Semi,0,1,0,Sabtu,0,Cerah / Sedikit Awan,0.196522,0.212126,0.651739,0.145365,123,975,1098,8.057402,10.606300000000001,9.739455,65.17389999999999
30,2011-01-30,Semi,0,1,0,Minggu,0,Cerah / Sedikit Awan,0.216522,0.250322,0.722174,0.0739826,140,956,1096,8.877402,12.5161,4.956834199999999,72.2174
31,2011-01-31,Semi,0,1,0,Senin,1,Berkabut + Mendung,0.180833,0.18625,0.60375,0.187192,42,1459,1501,7.414153,9.3125,12.541864,60.375
32,2011-02-01,Semi,0,2,0,Selasa,1,Berkabut + Mendung,0.192174,0.23453,0.829565,0.053213,47,1313,1360,7.8791340000000005,11.7265,3.565271,82.9565
33,2011-02-02,Semi,0,2,0,Rabu,1,Berkabut + Mendung,0.26,0.254417,0.775417,0.264308,72,1454,1526,10.66,12.72085,17.708636,77.5417
34,2011-02-03,Semi,0,2,0,Kamis,1,Cerah / Sedikit Awan,0.186957,0.177878,0.437826,0.277752,61,1489,1550,7.665237,8.8939,18.609384,43.7826
35,2011-02-04,Semi,0,2,0,Jumat,1,Berkabut + Mendung,0.211304,0.228587,0.585217,0.127839,88,1620,1708,8.663464,11.429350000000001,8.565213,58.521699999999996
36,2011-02-05,Semi,0,2,0,Sabtu,0,Berkabut + Mendung,0.233333,0.243058,0.929167,0.161079,100,905,1005,9.566653,12.152899999999999,10.792293,92.91669999999999
37,2011-02-06,Semi,0,2,0,Minggu,0,Cerah / Sedikit Awan,0.285833,0.291671,0.568333,0.1418,354,1269,1623,11.719153,14.58355,9.5006,56.833299999999994
38,2011-02-07,Semi,0,2,0,Senin,1,Cerah / Sedikit Awan,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,11.138347,15.1829,3.0423561,73.83330000000001
39,2011-02-08,Semi,0,2,0,Selasa,1,Cerah / Sedikit Awan,0.220833,0.198246,0.537917,0.36195,64,1466,1530,9.054153,9.9123,24.25065,53.7917
40,2011-02-09,Semi,0,2,0,Rabu,1,Berkabut + Mendung,0.134783,0.144283,0.494783,0.188839,53,1552,1605,5.526102999999999,7.21415,12.652213,49.4783
41,2011-02-10,Semi,0,2,0,Kamis,1,Cerah / Sedikit Awan,0.144348,0.149548,0.437391,0.221935,47,1491,1538,5.918268,7.477399999999999,14.869645,43.7391
42,2011-02-11,Semi,0,2,0,Jumat,1,Cerah / Sedikit Awan,0.189091,0.213509,0.506364,0.10855,149,1597,1746,7.752731000000001,10.67545,7.272849999999999,50.6364
43,2011-02-12,Semi,0,2,0,Sabtu,0,Cerah / Sedikit Awan,0.2225,0.232954,0.544167,0.203367,288,1184,1472,9.1225,11.6477,13.625589,54.4167
44,2011-02-13,Semi,0,2,0,Minggu,0,Cerah / Sedikit Awan,0.316522,0.324113,0.457391,0.260883,397,1192,1589,12.977402000000001,16.20565,17.479160999999998,45.7391
45,2011-02-14,Semi,0,2,0,Senin,1,Cerah / Sedikit Awan,0.415,0.39835,0.375833,0.417908,208,1705,1913,17.015,19.9175,27.999836,37.583299999999994
46,2011-02-15,Semi,0,2,0,Selasa,1,Cerah / Sedikit Awan,0.266087,0.254274,0.314348,0.291374,140,1675,1815,10.909567000000001,12.7137,19.522058,31.434800000000003
47,2011-02-16,Semi,0,2,0,Rabu,1,Cerah / Sedikit Awan,0.318261,0.3162,0.423478,0.251791,218,1897,2115,13.048701000000001,15.809999999999999,16.869996999999998,42.3478
48,2011-02-17,Semi,0,2,0,Kamis,1,Cerah / Sedikit Awan,0.435833,0.428658,0.505,0.230104,259,2216,2475,17.869153,21.4329,15.416968,50.5
49,2011-02-18,Semi,0,2,0,Jumat,1,Cerah / Sedikit Awan,0.521667,0.511983,0.516667,0.264925,579,2348,2927,21.388347,25.599149999999998,17.749975000000003,51.6667
50,2011-02-19,Semi,0,2,0,Sabtu,0,Cerah / Sedikit Awan,0.399167,0.391404,0.187917,0.507463,532,1103,1635,16.365847,19.5702,34.000021,18.7917
51,2011-02-20,Semi,0,2,0,Minggu,0,Cerah / Sedikit Awan,0.285217,0.27733,0.407826,0.223235,639,1173,1812,11.693897,13.8665,14.956745,40.7826
52,2011-02-21,Semi,0,2,1,Senin,0,Berkabut + Mendung,0.303333,0.284075,0.605,0.307846,195,912,1107,12.436653000000002,14.203750000000001,20.625682,60.5
53,2011-02-22,Semi,0,2,0,Selasa,1,Cerah / Sedikit Awan,0.182222,0.186033,0.577778,0.195683,74,1376,1450,7.471102,9.30165,13.110761,57.7778
54,2011-02-23,Semi,0,2,0,Rabu,1,Cerah / Sedikit Awan,0.221739,0.245717,0.423043,0.094113,139,1778,1917,9.091299,12.28585,6.3055710000000005,42.3043
55,2011-02-24,Semi,0,2,0,Kamis,1,Berkabut + Mendung,0.295652,0.289191,0.697391,0.250496,100,1707,1807,12.121732000000002,14.459549999999998,16.783231999999998,69.7391
56,2011-02-25,Semi,0,2,0,Jumat,1,Berkabut + Mendung,0.364348,0.350461,0.712174,0.346539,120,1341,1461,14.938268,17.52305,23.218113,71.2174
57,2011-02-26,Semi,0,2,0,Sabtu,0,Cerah / Sedikit Awan,0.2825,0.282192,0.537917,0.186571,424,1545,1969,11.5825,14.1096,12.500257,53.7917
58,2011-02-27,Semi,0,2,0,Minggu,0,Cerah / Sedikit Awan,0.343478,0.351109,0.68,0.125248,694,1708,2402,14.082598,17.55545,8.391615999999999,68.0
59,2011-02-28,Semi,0,2,0,Senin,1,Berkabut + Mendung,0.407273,0.400118,0.876364,0.289686,81,1365,1446,16.698193,20.005899999999997,19.408962,87.63640000000001
60,2011-03-01,Semi,0,3,0,Selasa,1,Cerah / Sedikit Awan,0.266667,0.263879,0.535,0.216425,137,1714,1851,10.933347,13.19395,14.500475,53.5
61,2011-03-02,Semi,0,3,0,Rabu,1,Cerah / Sedikit Awan,0.335,0.320071,0.449583,0.307833,231,1903,2134,13.735000000000001,16.00355,20.624811,44.9583
62,2011-03-03,Semi,0,3,0,Kamis,1,Cerah / Sedikit Awan,0.198333,0.200133,0.318333,0.225754,123,1562,1685,8.131653,10.00665,15.125518000000001,31.833299999999998
63,2011-03-04,Semi,0,3,0,Jumat,1,Berkabut + Mendung,0.261667,0.255679,0.610417,0.203346,214,1730,1944,10.728347,12.783949999999999,13.624182,61.0417
64,2011-03-05,Semi,0,3,0,Sabtu,0,Berkabut + Mendung,0.384167,0.378779,0.789167,0.251871,640,1437,2077,15.750846999999998,18.93895,16.875357,78.91669999999999
65,2011-03-06,Semi,0,3,0,Minggu,0,Berkabut + Mendung,0.376522,0.366252,0.948261,0.343287,114,491,605,15.437402,18.3126,23.000229,94.8261
66,2011-03-07,Semi,0,3,0,Senin,1,Cerah / Sedikit Awan,0.261739,0.238461,0.551304,0.341352,244,1628,1872,10.731299,11.92305,22.870584,55.1304
67,2011-03-08,Semi,0,3,0,Selasa,1,Cerah / Sedikit Awan,0.2925,0.3024,0.420833,0.12065,316,1817,2133,11.9925,15.120000000000001,8.083549999999999,42.0833
68,2011-03-09,Semi,0,3,0,Rabu,1,Berkabut + Mendung,0.295833,0.286608,0.775417,0.22015,191,1700,1891,12.129153,14.3304,14.750050000000002,77.5417
69,2011-03-10,Semi,0,3,0,Kamis,1,Hujan / Salju Ringan,0.389091,0.385668,0.0,0.261877,46,577,623,15.952731,19.2834,17.545759,0.0
70,2011-03-11,Semi,0,3,0,Jumat,1,Berkabut + Mendung,0.316522,0.305,0.649565,0.23297,247,1730,1977,12.977402000000001,15.25,15.60899,64.95649999999999
71,2011-03-12,Semi,0,3,0,Sabtu,0,Cerah / Sedikit Awan,0.329167,0.32575,0.594583,0.220775,724,1408,2132,13.495847,16.287499999999998,14.791924999999999,59.458299999999994
72,2011-03-13,Semi,0,3,0,Minggu,0,Cerah / Sedikit Awan,0.384348,0.380091,0.527391,0.270604,982,1435,2417,15.758268000000001,19.004550000000002,18.130468,52.73910000000001
73,2011-03-14,Semi,0,3,0,Senin,1,Cerah / Sedikit Awan,0.325217,0.332,0.496957,0.136926,359,1687,2046,13.333896999999999,16.6,9.174042,49.695699999999995
74,2011-03-15,Semi,0,3,0,Selasa,1,Berkabut + Mendung,0.317391,0.318178,0.655652,0.184309,289,1767,2056,13.013031,15.908900000000001,12.348703,65.5652
75,2011-03-16,Semi,0,3,0,Rabu,1,Berkabut + Mendung,0.365217,0.36693,0.776522,0.203117,321,1871,2192,14.973897000000001,18.3465,13.608839,77.65220000000001
76,2011-03-17,Semi,0,3,0,Kamis,1,Cerah / Sedikit Awan,0.415,0.410333,0.602917,0.209579,424,2320,2744,17.015,20.51665,14.041792999999998,60.291700000000006
77,2011-03-18,Semi,0,3,0,Jumat,1,Cerah / Sedikit Awan,0.54,0.527009,0.525217,0.231017,884,2355,3239,22.14,26.35045,15.478139,52.5217
78,2011-03-19,Semi,0,3,0,Sabtu,0,Cerah / Sedikit Awan,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,19.3725,23.32625,24.667189,37.9167
79,2011-03-20,Semi,0,3,0,Minggu,0,Cerah / Sedikit Awan,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,13.6325,16.287499999999998,13.917307,47.375
80,2011-03-21,Panas,0,3,0,Senin,1,Berkabut + Mendung,0.430435,0.409735,0.737391,0.288783,401,1676,2077,17.647835,20.48675,19.348461,73.73910000000001
81,2011-03-22,Panas,0,3,0,Selasa,1,Cerah / Sedikit Awan,0.441667,0.440642,0.624583,0.22575,460,2243,2703,18.108347,22.0321,15.125250000000001,62.4583
82,2011-03-23,Panas,0,3,0,Rabu,1,Berkabut + Mendung,0.346957,0.337939,0.839565,0.234261,203,1918,2121,14.225237,16.89695,15.695487,83.9565
83,2011-03-24,Panas,0,3,0,Kamis,1,Berkabut + Mendung,0.285,0.270833,0.805833,0.243787,166,1699,1865,11.684999999999999,13.541649999999999,16.333729,80.58330000000001
84,2011-03-25,Panas,0,3,0,Jumat,1,Cerah / Sedikit Awan,0.264167,0.256312,0.495,0.230725,300,1910,2210,10.830846999999999,12.8156,15.458575000000002,49.5
85,2011-03-26,Panas,0,3,0,Sabtu,0,Cerah / Sedikit Awan,0.265833,0.257571,0.394167,0.209571,981,1515,2496,10.899153,12.87855,14.041257,39.4167
86,2011-03-27,Panas,0,3,0,Minggu,0,Berkabut + Mendung,0.253043,0.250339,0.493913,0.1843,472,1221,1693,10.374763000000002,12.51695,12.348099999999999,49.3913
87,2011-03-28,Panas,0,3,0,Senin,1,Cerah / Sedikit Awan,0.264348,0.257574,0.302174,0.212204,222,1806,2028,10.838268000000001,12.878700000000002,14.217668,30.2174
88,2011-03-29,Panas,0,3,0,Selasa,1,Cerah / Sedikit Awan,0.3025,0.292908,0.314167,0.226996,317,2108,2425,12.4025,14.6454,15.208732,31.4167
89,2011-03-30,Panas,0,3,0,Rabu,1,Berkabut + Mendung,0.3,0.29735,0.646667,0.172888,168,1368,1536,12.299999999999999,14.8675,11.583495999999998,64.6667
90,2011-03-31,Panas,0,3,0,Kamis,1,Hujan / Salju Ringan,0.268333,0.257575,0.918333,0.217646,179,1506,1685,11.001653,12.87875,14.582282000000001,91.8333
91,2011-04-01,Panas,0,4,0,Jumat,1,Berkabut + Mendung,0.3,0.283454,0.68625,0.258708,307,1920,2227,12.299999999999999,14.172699999999999,17.333436,68.625
92,2011-04-02,Panas,0,4,0,Sabtu,0,Berkabut + Mendung,0.315,0.315637,0.65375,0.197146,898,1354,2252,12.915000000000001,15.78185,13.208782,65.375
93,2011-04-03,Panas,0,4,0,Minggu,0,Cerah / Sedikit Awan,0.378333,0.378767,0.48,0.182213,1651,1598,3249,15.511652999999999,18.93835,12.208271000000002,48.0
94,2011-04-04,Panas,0,4,0,Senin,1,Cerah / Sedikit Awan,0.573333,0.542929,0.42625,0.385571,734,2381,3115,23.506653,27.14645,25.833257,42.625
95,2011-04-05,Panas,0,4,0,Selasa,1,Berkabut + Mendung,0.414167,0.39835,0.642083,0.388067,167,1628,1795,16.980847,19.9175,26.000488999999998,64.2083
96,2011-04-06,Panas,0,4,0,Rabu,1,Cerah / Sedikit Awan,0.390833,0.387608,0.470833,0.263063,413,2395,2808,16.024153,19.3804,17.625221,47.0833
97,2011-04-07,Panas,0,4,0,Kamis,1,Cerah / Sedikit Awan,0.4375,0.433696,0.602917,0.162312,571,2570,3141,17.9375,21.684800000000003,10.874904,60.291700000000006
98,2011-04-08,Panas,0,4,0,Jumat,1,Berkabut + Mendung,0.335833,0.324479,0.83625,0.226992,172,1299,1471,13.769153,16.223950000000002,15.208464,83.625
99,2011-04-09,Panas,0,4,0,Sabtu,0,Berkabut + Mendung,0.3425,0.341529,0.8775,0.133083,879,1576,2455,14.0425,17.07645,8.916561,87.75
100,2011-04-10,Panas,0,4,0,Minggu,0,Berkabut + Mendung,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,17.493347,21.33685,9.833389,85.75
101,2011-04-11,Panas,0,4,0,Senin,1,Berkabut + Mendung,0.595652,0.565217,0.716956,0.324474,855,2493,3348,24.421732,28.260849999999998,21.739758,71.6956
102,2011-04-12,Panas,0,4,0,Selasa,1,Berkabut + Mendung,0.5025,0.493054,0.739167,0.274879,257,1777,2034,20.6025,24.6527,18.416892999999998,73.9167
103,2011-04-13,Panas,0,4,0,Rabu,1,Berkabut + Mendung,0.4125,0.417283,0.819167,0.250617,209,1953,2162,16.912499999999998,20.864150000000002,16.791338999999997,81.91669999999999
104,2011-04-14,Panas,0,4,0,Kamis,1,Cerah / Sedikit Awan,0.4675,0.462742,0.540417,0.1107,529,2738,3267,19.1675,23.1371,7.4169,54.041700000000006
105,2011-04-15,Panas,0,4,1,Jumat,0,Cerah / Sedikit Awan,0.446667,0.441913,0.67125,0.226375,642,2484,3126,18.313347,22.09565,15.167124999999999,67.125
106,2011-04-16,Panas,0,4,0,Sabtu,0,Hujan / Salju Ringan,0.430833,0.425492,0.888333,0.340808,121,674,795,17.664153000000002,21.2746,22.834136,88.83330000000001
107,2011-04-17,Panas,0,4,0,Minggu,0,Cerah / Sedikit Awan,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,18.723347,22.2848,20.334232,47.9583
108,2011-04-18,Panas,0,4,0,Senin,1,Cerah / Sedikit Awan,0.5125,0.503146,0.5425,0.163567,669,2760,3429,21.0125,25.1573,10.958988999999999,54.25
109,2011-04-19,Panas,0,4,0,Selasa,1,Berkabut + Mendung,0.505833,0.489258,0.665833,0.157971,409,2795,3204,20.739152999999998,24.4629,10.584057,66.5833
110,2011-04-20,Panas,0,4,0,Rabu,1,Cerah / Sedikit Awan,0.595,0.564392,0.614167,0.241925,613,3331,3944,24.395,28.2196,16.208975,61.4167
111,2011-04-21,Panas,0,4,0,Kamis,1,Cerah / Sedikit Awan,0.459167,0.453892,0.407083,0.325258,745,3444,4189,18.825847,22.6946,21.792286,40.708299999999994
112,2011-04-22,Panas,0,4,0,Jumat,1,Berkabut + Mendung,0.336667,0.321954,0.729583,0.219521,177,1506,1683,13.803347,16.0977,14.707906999999999,72.9583
113,2011-04-23,Panas,0,4,0,Sabtu,0,Berkabut + Mendung,0.46,0.450121,0.887917,0.230725,1462,2574,4036,18.86,22.50605,15.458575000000002,88.79169999999999
114,2011-04-24,Panas,0,4,0,Minggu,0,Berkabut + Mendung,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,23.848347,27.58815,12.875725000000001,81.08330000000001
115,2011-04-25,Panas,0,4,0,Senin,1,Cerah / Sedikit Awan,0.606667,0.5745,0.776667,0.185333,773,3300,4073,24.873347,28.725,12.417311,77.6667
116,2011-04-26,Panas,0,4,0,Selasa,1,Cerah / Sedikit Awan,0.631667,0.594083,0.729167,0.3265,678,3722,4400,25.898346999999998,29.704150000000002,21.875500000000002,72.9167
117,2011-04-27,Panas,0,4,0,Rabu,1,Berkabut + Mendung,0.62,0.575142,0.835417,0.3122,547,3325,3872,25.419999999999998,28.7571,20.917399999999997,83.54169999999999
118,2011-04-28,Panas,0,4,0,Kamis,1,Berkabut + Mendung,0.6175,0.578929,0.700833,0.320908,569,3489,4058,25.317500000000003,28.946450000000002,21.500836000000003,70.08330000000001
119,2011-04-29,Panas,0,4,0,Jumat,1,Cerah / Sedikit Awan,0.51,0.497463,0.457083,0.240063,878,3717,4595,20.91,24.87315,16.084221,45.7083
120,2011-04-30,Panas,0,4,0,Sabtu,0,Cerah / Sedikit Awan,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,19.3725,23.201050000000002,15.750025,50.3333
121,2011-05-01,Panas,0,5,0,Minggu,0,Berkabut + Mendung,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,18.518347,22.4102,7.125718,76.2083
122,2011-05-02,Panas,0,5,0,Senin,1,Berkabut + Mendung,0.549167,0.532833,0.73,0.183454,847,3554,4401,22.515846999999997,26.64165,12.291418,73.0
123,2011-05-03,Panas,0,5,0,Selasa,1,Berkabut + Mendung,0.616667,0.582079,0.697083,0.342667,603,3848,4451,25.283347,29.10395,22.958689,69.7083
124,2011-05-04,Panas,0,5,0,Rabu,1,Berkabut + Mendung,0.414167,0.40465,0.737083,0.328996,255,2378,2633,16.980847,20.2325,22.042732,73.70830000000001
125,2011-05-05,Panas,0,5,0,Kamis,1,Cerah / Sedikit Awan,0.459167,0.441917,0.444167,0.295392,614,3819,4433,18.825847,22.09585,19.791263999999998,44.4167
126,2011-05-06,Panas,0,5,0,Jumat,1,Cerah / Sedikit Awan,0.479167,0.474117,0.59,0.228246,894,3714,4608,19.645847,23.70585,15.292482,59.0
127,2011-05-07,Panas,0,5,0,Sabtu,0,Cerah / Sedikit Awan,0.52,0.512621,0.54125,0.16045,1612,3102,4714,21.32,25.63105,10.750150000000001,54.125
128,2011-05-08,Panas,0,5,0,Minggu,0,Cerah / Sedikit Awan,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,21.661653,25.946649999999998,5.0007125,63.1667
129,2011-05-09,Panas,0,5,0,Senin,1,Cerah / Sedikit Awan,0.5325,0.525246,0.58875,0.176,664,3698,4362,21.8325,26.2623,11.792,58.875
130,2011-05-10,Panas,0,5,0,Selasa,1,Cerah / Sedikit Awan,0.5325,0.522721,0.489167,0.115671,694,4109,4803,21.8325,26.13605,7.749956999999999,48.9167
131,2011-05-11,Panas,0,5,0,Rabu,1,Cerah / Sedikit Awan,0.5425,0.5284,0.632917,0.120642,550,3632,4182,22.2425,26.419999999999998,8.083014,63.29169999999999
132,2011-05-12,Panas,0,5,0,Kamis,1,Cerah / Sedikit Awan,0.535,0.523363,0.7475,0.189667,695,4169,4864,21.935000000000002,26.16815,12.707689,74.75
133,2011-05-13,Panas,0,5,0,Jumat,1,Berkabut + Mendung,0.5125,0.4943,0.863333,0.179725,692,3413,4105,21.0125,24.715,12.041575,86.33330000000001
134,2011-05-14,Panas,0,5,0,Sabtu,0,Berkabut + Mendung,0.520833,0.500629,0.9225,0.13495,902,2507,3409,21.354153,25.03145,9.041649999999999,92.25
135,2011-05-15,Panas,0,5,0,Minggu,0,Berkabut + Mendung,0.5625,0.536,0.867083,0.152979,1582,2971,4553,23.0625,26.8,10.249593,86.70830000000001
136,2011-05-16,Panas,0,5,0,Senin,1,Cerah / Sedikit Awan,0.5775,0.550512,0.787917,0.126871,773,3185,3958,23.677500000000002,27.5256,8.500357000000001,78.79169999999999
137,2011-05-17,Panas,0,5,0,Selasa,1,Berkabut + Mendung,0.561667,0.538529,0.837917,0.277354,678,3445,4123,23.028347,26.926450000000003,18.582718,83.7917
138,2011-05-18,Panas,0,5,0,Rabu,1,Berkabut + Mendung,0.55,0.527158,0.87,0.201492,536,3319,3855,22.55,26.3579,13.499964,87.0
139,2011-05-19,Panas,0,5,0,Kamis,1,Berkabut + Mendung,0.530833,0.510742,0.829583,0.108213,735,3840,4575,21.764153,25.537100000000002,7.250271000000001,82.9583
140,2011-05-20,Panas,0,5,0,Jumat,1,Cerah / Sedikit Awan,0.536667,0.529042,0.719583,0.125013,909,4008,4917,22.003347,26.4521,8.375871,71.9583
141,2011-05-21,Panas,0,5,0,Sabtu,0,Cerah / Sedikit Awan,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,24.7025,28.59875,8.083549999999999,62.6667
142,2011-05-22,Panas,0,5,0,Minggu,0,Cerah / Sedikit Awan,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,24.770847,28.725,9.916536,74.9583
143,2011-05-23,Panas,0,5,0,Senin,1,Berkabut + Mendung,0.631667,0.590296,0.81,0.233842,836,3438,4274,25.898346999999998,29.5148,15.667413999999999,81.0
144,2011-05-24,Panas,0,5,0,Selasa,1,Berkabut + Mendung,0.66,0.604813,0.740833,0.207092,659,3833,4492,27.060000000000002,30.240650000000002,13.875164,74.0833
145,2011-05-25,Panas,0,5,0,Rabu,1,Cerah / Sedikit Awan,0.660833,0.615542,0.69625,0.154233,740,4238,4978,27.094153,30.7771,10.333611000000001,69.625
146,2011-05-26,Panas,0,5,0,Kamis,1,Cerah / Sedikit Awan,0.708333,0.654688,0.6775,0.199642,758,3919,4677,29.041653,32.7344,13.376014,67.75
147,2011-05-27,Panas,0,5,0,Jumat,1,Cerah / Sedikit Awan,0.681667,0.637008,0.65375,0.240679,871,3808,4679,27.948347000000002,31.8504,16.125493,65.375
148,2011-05-28,Panas,0,5,0,Sabtu,0,Cerah / Sedikit Awan,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,26.889153,30.61895,15.416164,72.9583
149,2011-05-29,Panas,0,5,0,Minggu,0,Cerah / Sedikit Awan,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,27.3675,30.777500000000003,14.333846,81.875
150,2011-05-30,Panas,0,5,1,Senin,0,Cerah / Sedikit Awan,0.733333,0.671092,0.685,0.131225,1549,2549,4098,30.066653000000002,33.5546,8.792075,68.5
151,2011-05-31,Panas,0,5,0,Selasa,1,Cerah / Sedikit Awan,0.775,0.725383,0.636667,0.111329,673,3309,3982,31.775000000000002,36.26915,7.459042999999999,63.6667
152,2011-06-01,Panas,0,6,0,Rabu,1,Berkabut + Mendung,0.764167,0.720967,0.677083,0.207092,513,3461,3974,31.330847000000002,36.04835,13.875164,67.7083
153,2011-06-02,Panas,0,6,0,Kamis,1,Cerah / Sedikit Awan,0.715,0.643942,0.305,0.292287,736,4232,4968,29.314999999999998,32.1971,19.583229000000003,30.5
154,2011-06-03,Panas,0,6,0,Jumat,1,Cerah / Sedikit Awan,0.62,0.587133,0.354167,0.253121,898,4414,5312,25.419999999999998,29.356650000000002,16.959107,35.4167
